Урок,ID,Иврит,Транскрипция,Перевод,Категория,Страница
1,1,שָׁלוֹם,шало́м,"мир, привет, до свидания",приветствия,18
1,2,כֵּן,кен,да,служебные,19
1,3,לֹא,ло,"нет, не",служебные,19
1,4,מָה,ма,что,вопросы,20
1,5,מִי,ми,кто,вопросы,20
1,6,אֵיפֹה,эйфо́,где,вопросы,21
1,7,מֵאַיִן,меа́йин,откуда,вопросы,21

2,8,אֲנִי,ани́,я,местоимения,26
2,9,אַתָּה,ата́,ты (м.р.),местоимения,26
2,10,אַתְּ,ат,ты (ж.р.),местоимения,26
2,11,הוּא,hу,он,местоимения,26
2,12,הִיא,hи,она,местоимения,26
2,13,תַּיָּיר,тайя́р,турист,существительные,27
2,14,תַּיֶּירֶת,тайе́рет,туристка,существительные,27
2,15,עוֹלֶה חָדָשׁ,оле́ хада́ш,новый репатриант,существительные,27
2,16,עוֹלָה חֲדָשָׁה,ола́ хадаша́,новая репатриантка,существительные,27
2,17,לִלְמוֹד,лильмо́д,"учить, изучать",глаголы,28
2,18,לַעֲבוֹד,лаавод́,работать,глаголы,28
2,19,לָגוּר,лагу́р,"жить, проживать",глаголы,29
2,20,עִבְרִית,иври́т,иврит,существительные,28
2,21,אוּלְפָּן,ульпа́н,ульпан (школа иврита),существительные,28
2,22,מוֹרֶה,морэ́,учитель,существительные,29
2,23,מוֹרָה,мора́,учительница,существительные,29
2,24,תַּלְמִיד,тальми́д,ученик,существительные,29
2,25,תַּלְמִידָה,тальмида́,ученица,существительные,29
2,26,טוֹב,тов,хороший,прилагательные,30
2,27,טוֹבָה,това́,хорошая,прилагательные,30
2,28,מְאוֹד,мео́д,очень,наречия,30
2,29,עַכְשָׁו,ахша́в,сейчас,наречия,31
2,30,יִשְׂרָאֵל,исраэ́ль,Израиль,страны,27
2,31,רוּסְיָה,ру́сия,Россия,страны,27
2,32,אַנְגְלִיָה,англи́я,Англия,страны,27

3,33,אֶחָד,эха́д,один (м.р.),числа,38
3,34,שְׁנַיִם,шна́йим,два (м.р.),числа,38
3,35,שָׁלוֹשׁ,шало́ш,три (ж.р.),числа,38
3,36,אַרְבַּע,а́рба,четыре (ж.р.),числа,38
3,37,חָמֵשׁ,хаме́ш,пять (ж.р.),числа,38
3,38,שֵׁשׁ,шеш,шесть (ж.р.),числа,39
3,39,שֶׁבַע,ше́ва,семь (ж.р.),числа,39
3,40,שְׁמוֹנֶה,шмонэ́,восемь (ж.р.),числа,39
3,41,תֵּשַׁע,тэ́ша,девять (ж.р.),числа,39
3,42,עֶשֶׂר,э́сэр,десять (ж.р.),числа,39
3,43,אֲנַחְנוּ,ана́хну,мы,местоимения,40
3,44,אַתֶּם,атэ́м,вы (м.р.),местоимения,40
3,45,אַתֶּן,атэ́н,вы (ж.р.),местоимения,40
3,46,הֵם,hэм,они (м.р.),местоимения,40
3,47,הֵן,hэн,они (ж.р.),местоимения,40
3,48,לִנְסוֹעַ,линсо́а,ехать,глаголы,42
3,49,לָלֶכֶת,лале́хет,"идти, ходить",глаголы,44
3,117,אַחַת,аха́т,одна (ж.р.),числа,48
3,118,שְׁתַּיִם,шта́йим,две (ж.р.),числа,48
3,119,שְׁלוֹשָׁה,шлоша́,три (м.р.),числа,48
3,120,אַרְבָּעָה,арбаа́,четыре (м.р.),числа,48
3,121,חֲמִשָּׁה,хамиша́,пять (м.р.),числа,48
3,122,שִׁשָּׁה,шиша́,шесть (м.р.),числа,48
3,123,שִׁבְעָה,шива́,семь (м.р.),числа,48
3,124,שְׁמוֹנָה,шмона́,восемь (м.р.),числа,48
3,125,תִּשְׁעָה,тиша́,девять (м.р.),числа,48
3,126,עֲשָׂרָה,асара́,десять (м.р.),числа,48
3,127,כַּמָּה,ка́ма,сколько,вопросы,48
3,128,יוֹם,йом,день,время,48
3,129,יָמִים,ями́м,дни,время,48
3,130,שָׁבוּעַ,шаву́а,неделя,время,48
3,131,שָׁבוּעוֹת,шавуо́т,недели,время,48
3,132,חוֹדֶשׁ,хо́деш,месяц,время,48
3,133,חוֹדָשִׁים,ходаши́м,месяцы,время,48
3,134,שָׁנָה,шана́,год,время,48
3,135,שָׁנִים,шани́м,годы,время,48
3,136,פַּעַם,па́ам,раз,время,48
3,137,פְּעָמִים,пъами́м,разы,время,48
3,138,אֶפֶס,э́фес,ноль,числа,48
3,139,אוֹטוֹבּוּס,отобу́с,автобус,транспорт,42
3,140,מוֹנִית,мони́т,такси,транспорт,42
3,141,רַכֶּבֶת,раке́вет,поезд,транспорт,42
3,142,מְטוֹס,мето́с,самолёт,транспорт,42
3,143,אֳנִיָּה,онийа́,корабль,транспорт,42
3,144,רֶגֶל,ре́гель,"нога, пешком",существительные,42
3,145,תֵּל אָבִיב,тель-ави́в,Тель-Авив,города,43
3,146,יְרוּשָׁלַיִם,йерушала́йим,Иерусалим,города,43
3,147,חֵיפָה,хейфа́,Хайфа,города,43
3,148,אֵילַת,эйла́т,Эйлат,города,43
3,149,לְ,ле-,"в, к (предлог направления)",предлоги,44
3,150,מִ,ми-,из (предлог),предлоги,44
3,151,עַד,ад,до,предлоги,44
3,152,בְּ,бе-,в (предлог места),предлоги,49
3,153,עַל,аль,"на, о",предлоги,49
3,154,רַק,рак,только,наречия,45
3,155,גַּם,гам,"тоже, также",наречия,45
3,156,אוֹ,о,или,союзы,45
3,157,וְ,ве-,и,союзы,45
3,158,עוֹד,од,ещё,наречия,46
3,159,בְּעֶרֶךְ,бээ́рех,"примерно, приблизительно",наречия,47
3,160,בִּכְלָל,бихла́ль,вообще,наречия,45
3,161,מָתַי,мата́й,когда,вопросы,40
3,162,לָמָּה,ла́ма,"почему, зачем",вопросы,40
3,163,אֵיפֹה,э́йфо,где,вопросы,40
3,164,אֵיךְ,эйх,как,вопросы,40
3,165,אָמֶרִיקָה,амэ́рика,Америка,страны,43
3,166,רוּסְיָה,ру́сия,Россия,страны,43
3,167,צָרְפַת,царфа́т,Франция,страны,43
3,168,אַנְגְלִיָּה,а́нглия,Англия,страны,43

4,50,שֶׁלִי,шели́,мой/моя/моё,притяжательные,52
4,51,שֶׁלְּךָ,шельха́,твой (м.р.),притяжательные,52
4,52,שֶׁלָּךְ,шела́х,твой (ж.р.),притяжательные,52
4,53,שֶׁלּוֹ,шело́,его,притяжательные,52
4,54,שֶׁלָּהּ,шелла́,её,притяжательные,52
4,55,שֶׁלָּנוּ,шела́ну,наш,притяжательные,53
4,56,שֶׁלָּכֶם,шелахэ́м,ваш (м.р.),притяжательные,53
4,57,שֶׁלָּהֶם,шелаhэ́м,их (м.р.),притяжательные,53
4,58,בַּיִת,ба́йит,дом,существительные,54
4,59,מְכוֹנִית,мехони́т,"машина, автомобиль",существительные,54
4,60,תִּיק,тик,"сумка, портфель",существительные,54
4,61,כֶּסֶף,кэ́сэф,деньги,существительные,55
4,62,מַפְתֵּחַ,мафтэ́ах,ключ,существительные,55
4,63,מַפְתְּחוֹת,мафтехо́т,ключи,существительные,55
4,64,עֲבוֹדָה,авода́,работа,существительные,56
4,65,רְחוֹב,рехо́в,улица,существительные,56
4,66,בַּנְק,банк,банк,существительные,57
4,67,כְּתוֹבֶת,ктове́т,адрес,существительные,57
4,68,תְּשׁוּבָה,тшува́,ответ,существительные,58
4,69,שְׁאֵלָה,шеэла́,вопрос,существительные,58
4,70,חָדָשׁ,хада́ш,новый,прилагательные,59
4,71,חֲדָשָׁה,хадаша́,новая,прилагательные,59
4,72,יָפֶה,яфэ́,красивый,прилагательные,59
4,73,יָפָה,яфа́,красивая,прилагательные,59
4,169,בַּיִת,ба́йит,дом,существительные,52
4,170,חֶדֶר,хэ́дер,комната,существительные,52
4,171,מִטְבָּח,митба́х,кухня,существительные,52
4,172,סָלוֹן,сало́н,гостиная,существительные,52
4,173,חֲדַר שֵׁינָה,хада́р шена́,спальня,существительные,52
4,174,חֲדַר אֲמְבַּטְיָה,хада́р амба́тья,ванная комната,существительные,52
4,175,שֵׁרוּתִים,шерути́м,туалет,существительные,52
4,176,מִרְפֶּסֶת,мирпе́сет,балкон,существительные,52
4,177,דֶּלֶת,дэ́лет,дверь,существительные,53
4,178,חַלּוֹן,хало́н,окно,существительные,53
4,179,שֻׁלְחָן,шульха́н,стол,существительные,53
4,180,כִּסֵּא,кисэ́,стул,существительные,53
4,181,מִיטָה,мита́,кровать,существительные,53
4,182,אָרוֹן,аро́н,шкаф,существительные,53
4,183,מְקָרֵר,мекарэ́р,холодильник,существительные,53
4,184,תַּנּוּר,тану́р,"духовка, печь",существительные,53
4,185,כִּיּוֹר,кию́р,раковина,существительные,53
4,186,יֵשׁ,еш,"есть, имеется",служебные,54
4,187,אֵין,эйн,нет (не имеется),служебные,54
4,188,הַרְבֵּה,hарбэ́,много,наречия,55
4,189,מְעַט,мэа́т,"мало, немного",наречия,55
4,190,כָּל,коль,"весь, каждый",местоимения,55
4,191,שׁוּם,шум,никакой,местоимения,55
4,192,אַף,аф,"никто, ни один",местоимения,55
4,193,כְּבָר,квар,уже,наречия,56
4,194,עֲדַיִן,адаи́н,"ещё, пока",наречия,56
4,195,תָּמִיד,тами́д,всегда,наречия,56
4,196,לִפְעָמִים,лифъами́м,иногда,наречия,56
4,197,אַבָּל,ава́ль,но,союзы,57
4,198,כִּי,ки,потому что,союзы,57
4,199,אִם,им,если,союзы,57
4,200,כַּאֲשֶׁר,каашэ́р,когда (союз),союзы,57

5,74,מִשְׁפָּחָה,мишпаха́,семья,существительные,66
5,75,אָב,ав,отец,семья,67
5,76,אֵם,эм,мать,семья,67
5,77,אַבָּא,а́ба,папа,семья,67
5,78,אִמָּא,и́ма,мама,семья,67
5,79,בֵּן,бен,сын,семья,68
5,80,בַּת,бат,дочь,семья,68
5,81,בָּנִים,бани́м,сыновья,семья,68
5,82,בָּנוֹת,бано́т,дочери,семья,68
5,83,אָח,ах,брат,семья,68
5,84,אָחוֹת,ахо́т,сестра,семья,68
5,85,אַחִים,ахи́м,братья,семья,68
5,86,אֲחָיוֹת,ахайо́т,сёстры,семья,68
5,87,בַּעַל,ба́аль,муж,семья,69
5,88,אִשָּׁה,иша́,"жена, женщина",семья,69
5,89,יֶלֶד,йе́лед,ребёнок (м.р.),семья,69
