=== УРОК 1 (7 слов) ===;;
Иврит;Транскрипция;Перевод
שָׁלוֹם;шало́м;мир, привет, до свидания
כֵּן;кен;да
לֹא;ло;нет, не
מָה;ма;что
מִי;ми;кто
אֵיפֹה;эйфо́;где
מֵאַיִן;меа́йин;откуда
;;
=== УРОК 2 (25 слов) ===;;
Иврит;Транскрипция;Перевод
אֲנִי;ани́;я
אַתָּה;ата́;ты (м.р.)
אַתְּ;ат;ты (ж.р.)
הוּא;hу;он
הִיא;hи;она
תַּיָּיר;тайя́р;турист
תַּיֶּירֶת;тайе́рет;туристка
עוֹלֶה חָדָשׁ;оле́ хада́ш;новый репатриант
עוֹלָה חֲדָשָׁה;ола́ хадаша́;новая репатриантка
לִלְמוֹד;лильмо́д;учить, изучать
לַעֲבוֹד;лаавод́;работать
לָגוּר;лагу́р;жить, проживать
עִבְרִית;иври́т;иврит
אוּלְפָּן;ульпа́н;ульпан (школа иврита)
מוֹרֶה;морэ́;учитель
מוֹרָה;мора́;учительница
תַּלְמִיד;тальми́д;ученик
תַּלְמִידָה;тальмида́;ученица
טוֹב;тов;хороший
טוֹבָה;това́;хорошая
מְאוֹד;мео́д;очень
עַכְשָׁו;ахша́в;сейчас
יִשְׂרָאֵל;исраэ́ль;Израиль
רוּסְיָה;ру́сия;Россия
אַנְגְלִיָה;англи́я;Англия
;;
=== УРОК 3 (17 слов) ===;;
Иврит;Транскрипция;Перевод
אֶחָד;эха́д;один
שְׁנַיִם;шна́йим;два
שָׁלוֹשׁ;шало́ш;три
אַרְבַּע;а́рба;четыре
חָמֵשׁ;хаме́ш;пять
שֵׁשׁ;шеш;шесть
שֶׁבַע;ше́ва;семь
שְׁמוֹנֶה;шмонэ́;восемь
תֵּשַׁע;тэ́ша;девять
עֶשֶׂר;э́сэр;десять
אֲנַחְנוּ;ана́хну;мы
אַתֶּם;атэ́м;вы (м.р.)
אַתֶּן;атэ́н;вы (ж.р.)
הֵם;hэм;они (м.р.)
הֵן;hэн;они (ж.р.)
לִנְסוֹעַ;линсо́а;ехать
לָלֶכֶת;лале́хет;идти, ходить
;;
=== УРОК 4 (24 слов) ===;;
Иврит;Транскрипция;Перевод
שֶׁלִי;шели́;мой/моя/моё
שֶׁלְּךָ;шельха́;твой (м.р.)
שֶׁלָּךְ;шела́х;твой (ж.р.)
שֶׁלּוֹ;шело́;его
שֶׁלָּהּ;шелла́;её
שֶׁלָּנוּ;шела́ну;наш
שֶׁלָּכֶם;шелахэ́м;ваш (м.р.)
שֶׁלָּהֶם;шелаhэ́м;их (м.р.)
בַּיִת;ба́йит;дом
מְכוֹנִית;мехони́т;машина, автомобиль
תִּיק;тик;сумка, портфель
כֶּסֶף;кэ́сэф;деньги
מַפְתֵּחַ;мафтэ́ах;ключ
מַפְתְּחוֹת;мафтехо́т;ключи
עֲבוֹדָה;авода́;работа
רְחוֹב;рехо́в;улица
בַּנְק;банк;банк
כְּתוֹבֶת;ктове́т;адрес
תְּשׁוּבָה;тшува́;ответ
שְׁאֵלָה;шеэла́;вопрос
חָדָשׁ;хада́ш;новый
חֲדָשָׁה;хадаша́;новая
יָפֶה;яфэ́;красивый
יָפָה;яфа́;красивая
;;
=== УРОК 5 (43 слов) ===;;
Иврит;Транскрипция;Перевод
מִשְׁפָּחָה;мишпаха́;семья
אָב;ав;отец
אֵם;эм;мать
אַבָּא;а́ба;папа
אִמָּא;и́ма;мама
בֵּן;бен;сын
בַּת;бат;дочь
בָּנִים;бани́м;сыновья
בָּנוֹת;бано́т;дочери
אָח;ах;брат
אָחוֹת;ахо́т;сестра
אַחִים;ахи́м;братья
אֲחָיוֹת;ахайо́т;сёстры
בַּעַל;ба́аль;муж
אִשָּׁה;иша́;жена, женщина
יֶלֶד;йе́лед;ребёнок (м.р.)
יַלְדָּה;йальда́;ребёнок (ж.р.)
יְלָדִים;йелади́м;дети
הוֹרִים;hори́м;родители
סַבָּא;са́ба;дедушка
סָבְתָא;са́вта;бабушка
דּוֹד;дод;дядя
דּוֹדָה;до́да;тётя
רוֹפֵא;рофэ́;врач (м.р.)
רוֹפְאָה;рофа́;врач (ж.р.)
אָחוֹת;ахо́т;медсестра
קָטָן;ката́н;маленький
קְטַנָּה;ктана́;маленькая
גָּדוֹל;гадо́ль;большой
גְּדוֹלָה;гдола́;большая
נֶחְמָד;нэхма́д;милый, приятный
נֶחְמָדָה;нэхмада́;милая, приятная
חָכָם;хаха́м;умный
חֲכָמָה;хахама́;умная
לְהִנָּשֵׂא;лэhинасэ́;жениться/выходить замуж
לְטַפֵּל;лэтапэ́ль;заботиться, ухаживать
לְהִשָּׁאֵר;лэhишаэ́р;оставаться
גַּן יְלָדִים;ган йелади́м;детский сад
בֵּית סֵפֶר;бейт сэ́фэр;школа
כִּתָּה;кита́;класс
מִקְצוֹעַ;микцо́а;профессия
בֵּן כַּמָּה;бен ка́ма;сколько лет (м.р.)?
בַּת כַּמָּה;бат ка́ма;сколько лет (ж.р.)?
;;
